##name	Lexique de Warhammer 40000
##version	0.0.3
##website	https://github.com/WillScarlettOhara/Dictionnaires
##date	2023-11-09
##description	Dictionnaire pour faciliter la lecture des livres Warhammer 400000 (ɔ) 2023
##sourceLang	French
##targetLang	French
Arme de Force	Les armes de force regroupent un ensemble d'armes blanches, parfois combinées, utilisant une technologie qui ne peut être utilisée que par un psyker spécialement entraîné. 1
Arme de Force Némésis	Les "Armes de Force Némésis", 2 sont des armes de force réservées aux psykers des Chevaliers Gris dont elles sont l'armement standard.
Arme de corps à corps	Les Armes de corps à corps, désignent toute une multitude d'armements dont le point commun est qu'ils n'ont d'effet qu'à courte portée.
Arme digitale	Les "Armes digitales" désignent un ensemble d'armes miniaturisées et portées à la main, en général à un ou plusieurs doigts. 1
Arme sonique	Les armes soniques représentent toutes les techniques de combat utilisant le son pour combattre l'adversaire. Ces armes sont principalement liées au culte de Slaanesh,et en particulier les Emperor's Children.
Arme Énergétique	Les Armes Énergétiques désignent et regroupent un ensemble d'armes de poing, combinées ou de corps-à-corps, utilisant un champ d’énergie à un degré de puissance mortel, utilisé en majorité par les armées de l'Imperium, loyalistes comme renégates. 1
Arme à Désintégration	Les Armes à Désintégration sont des armes utilisées par les Space Marines. 1
Arme à Flammes	Les armes à flammes propulsent des jets de flammes sur leurs cibles. Elles sont utilisées par la plupart des races de la galaxie.
Arme à Fusion	Les armes à fusion propulsent des décharges de chaleur extrêmement puissantes capable de fondre presque n'importe quel matériau.
Arme à Gravitons	Les Armes à Gravitons sont des armes manipulant la gravité utilisé par les Space Marines. 1
Arme à Impulsions	Les Armes à Impulsions sont une catégorie d'armes utilisées par l'Empire Tau. 1
Arme à Lumière Noire	Les Armes à Lumière Noire sont des armes propulsant de la matière noire utilisées par les Eldars Noirs.
Arme à Plasma	Les armes à plasma utilisent une technologie permettant de projeter du gaz ionisé, transformé à l'état de plasma.
Arme à Radium	Les Armes à Radium sont des armes utilisées par les Skitarii Vanguard. 1
Arme à Shuriken	Les Armes à Shurikens, ou Armes Shuriken 3, sont des armes Eldars utilisant comme projectiles des disques aiguisés à l'échelle moléculaires. 2-p.22 Bien que les Eldars soient les utilisateurs les plus connus de ce genre d'arme, il est déjà arrivé que de tels armes se retrouvent entre les mains de gangs de Ruches humains. 4
Armis	Frère "Armis" est le Maître de Chapitre de la Blood Legion. 1
Armure Eldar	Au lieu de plaques d'armure primitives comme sur les armures impériales, les Eldars ont recours à des combinaisons connectés psychiquement à leurs pensées, des champs de forces et des combinaisons holographiques.
Armure d'Antilochus	L'Armure d'Antilochus est un Armure Terminator portée par Marneus Calgar. 1
Armure d'Artificier	On qualifie une Armure énergétique de "Armure d'Artificier", lorsque celle-ci subit de lourdes modifications pour répondre aux attentes et aux besoins de son utilisateur. Dans les Chapitres Space Marines, ces protections subissent d'importantes  modifications et sont magnifiquement  ornées pour une seule personne (Généralement des Capitaine respectés, des Champions de Compagnie, ou de très haut-placés dans la hiérarchie du Chapitre.). Après la mort de leur porteur originel, ces protections sont conservées par les Chapitres, et reviennent à un haut gradé ou un Astartes ayant fait preuve de bravoure sur le champ d'honneur.
Armure de la Foi	L'Armure de la Foi est une relique des Black Templars léguée par Sigismund en plus de l'Epée Noire. Ces deux reliques sont indissociables. 1
Armure lourde	Des Orks ayant survécu suffisamment longtemps pour ramasser des débris de toutes sortes sur le champ de bataille, fabriquent une sorte d'armure qui peut, mais la plupart du temps ne le fait pas, protéger son porteur. Une armure lourde est faite de bout de métal pris sur l'ennemi et martelée jusqu'à adopter plus ou moins la forme de son porteur.
Armure Énergétique	Tout comme le Bolter, l'armure énergétique constitue l'un des symboles de l'Imperium. Il s'agit d'une superbe armure complète constituée de fibres électriques et d'épaisses plaques de céramite. Ces dernières seraient encombrantes si les mouvements du porteur n'étaient pas amplifiés par des servomoteurs mécaniques et des systèmes hydrauliques implantés directement dans l'armure. L'armure énergétique est totalement étanche, et protège ainsi son porteur contre les armes à gaz et les atmosphères toxiques, ainsi que contre le vide spatial. Elle inclut fréquemment un bon nombre de systèmes auxiliaires tels que des communicateurs et des auto-senseurs. Elle est également munie de ports de donnée, permettant entre autres le chargement de données tactiques. On considère qu'une armure énergétique absorbe en moyenne les deux tiers des coups reçus par son porteur1 - p.50.
Arotha	Arotha est un Monde Nécropole qui fut colonisé par l'Imperium. 1
Arrian	Arrian est un Monde Minier du Cyclothrathine Holdfast. 1
Arriva	Arriva est une planète dont la position exacte est inconnue. 1
Arsenal Adeptus Arbites	Afin de garantir le bon déroulement de leurs missions, l'Adeptus Arbites a accès à un vaste arsenal. Leurs hommes sont ainsi mieux équipés que les membres des Forces de Défense Planétaires et même que ceux de la Garde Impériale. 1
Arsenal Blood Ravens	L'arsenal des Blood Ravens contient de nombreuses reliques du passé. Chacune d'entre elles portent un nom en mémoire a un évènement précis ou à un de ses illustres porteurs aujourd'hui défunt. De plus, la plupart de ses armes possèdent un passé plus ou moins glorieux depuis sa mise en service. Certaines de ses armes ont des origines plutôt mystérieuses, d'autres sont de ferventes défenseur du Chapitre depuis des millénaires. [Source?]
Arsenal Eldar	L'Arsenal Eldar est considérablement avancé comparé à celui de l'Imperium, ayant été développé et utilisé durant plusieurs millénaires. Il utilise une technologie de pointe, notamment des cristaux de Moelle Spectrale dans leurs créations les plus accomplies. En fait, la technologie des Eldars est si avancée que la plupart des autres races la considèrent comme de la sorcellerie, capable de transgresser les lois de la physique et de déchirer le voile de la réalité. Pour les Eldars, chacun de ces armes revêt une beauté macabre et remplit à la perfection son rôle destructeur. [Source?]
Arsenal Nécron	L'Arsenal Nécron est divers et varié. Il va du simple Fusil à Fission au Canon Jugement Dernier en passant par les armes de corps à corps comme le Fauchard ou des équipements comme l'Orbe de Résurrection. 1
Arsenal Space Marine	L'Arsenal Space Marine  est très diversifié allant du Bolter au Canon Laser pour les armes de tir ainsi que l'Épée Énergétique pour les armes de corps à corps.
Artellus Numeon	Artellus Numeon3a fut un célèbre capitaine des Salamanders lors de la  Grande Croisade. 1
Artemia Majoris	Artemia Majoris est un Monde Forge du Segmentum Pacificus. 1
Artemis	Artemis peut désigner :<ul><li> Artemis (Watch Captain) : un Watch Captain de la Deathwatch. </li> <li> Flotte de Guerre Artemis : une Flotte Impériale. </li> <li> Système Artemis : un Système Planétaire.</li></ul>
Artemis (Watch Captain)	Artemis est un Watch Captain de la Deathwatch issu du Chapitre des Mortifactors. 1
Artor Amhrad	Artor Amhrad fut le dernier Maître de Chapitre des Astral Knights. 1
Arvann Stern	Arvann Stern est l'actuel Capitaine de la 3ème Confrérie du Chapitre des Chevaliers Gris. 1, 2, 3
Arx	Arx est une Station d'Observation de l'Imperium située dans le Segmentum Obscurus. 1
Aryand	Aryand peut désigner :<ul><li>Aryand (Monde Primordial) : Monde Primordial de la Dynastie Nephrekh.</li> <li>Aryand (Monde Ruche) : Monde Ruche esclave de la Dynastie Altymhor.</li></ul>
Aryand (Monde Primordial)	Aryand est le Monde Primordial de la Dynastie Nephrekh. 1
Aryand (Monde Ruche)	Aryand est un Monde Ruche esclave de la Dynastie Altymhor. 1
Aryon	"Aryon" fut un capitaine du chapitre des Blood Angels. 1
Asad	L’Asad fut une Chimère de l'antique Armée Impériale au M31. 1
Asceton	Frère Asceton fut un Sergent de l'antique IIIème légion des Emperor's Children. 1
Ascetum	Frère Ascetum fut un Sergent Vétéran de la redoutable Legio Custodes au M31. 1
Asclepion	L'Asclepion fut un Croiseur Lunar de la Flotte Impériale mais dont le secteur d'affection n'est pas connu. 1
Asdrubael Vect	Asdrubael Vect est le maître de la Cabale du Cœur Noir, Seigneur Suprême de Commorragh et par extension de la branche sombre de la race Eldar connue sous le nom d’Eladrith Ynneas, ou Eldars Noirs. 1, 2
Asgeir	Frère Asgeir fut un Sergent de l'antique VIème légion des Space Wolves. 1
Ashok	Frère "Ashok" fut un Archiviste des Angels Sanguine. 1a
Asirnoth	Asirnoth, surnommé le "Grand Ver", 3-p.114 ou la "Grande Wyrm d'argent" 1 est une créature légendaire de Medusa. Vaincue par Ferrus Manus, elle serait à l'origine du mystère de ses "Mains d'Argent. 1
Asmodai	Asmodai est l'actuel Maître des Chapelains-Investigateurs des Dark Angels. 1
Aspirant Champion	Les Aspirants Champions sont les plus fort et les plus impitoyable membres d'une Bande de Space Marines du Chaos ou de Havocs. Ils sont l'équivalent des Sergents des escouades de l'Adeptus Astartes. 1-p.36
Assassinorum: Execution Force (Jeu de Plateau)	"Assassinorum: Execution Force" est un jeu de plateau et de stratégie coopératif édité par Games Workshop. Il fût commercialisé en édition limitée et ne fut jamais traduit en français.
Assaut sur Black Reach	Lorsque le capitaine Sicarius arriva avec sa compagnie sur le Monde Ruche de Black Reach, les Orks contrôlaient déjà une bonne partie de la planète. La bataille qui suivit fut épique. 2
Assaut sur Black Reach (Homonymie)	Le nom Assaut sur Black Reach peut désigner :<ul><li> Assaut sur Black Reach : bataille entre les Ultramarines et une invasion Ork.</li> <li> Assaut sur Black Reach (Boîte) : boîte d'initiation de Warhammer 40,000 (5ème édition).</li> <li> Assault on Black Reach (Roman) : roman de Nick Kyme</li></ul>
Astaramis	Astaramis est un Monde Ruche impérial du royaume d'Ultramar. 1
Astartes Praeses	L'ouvrage Mythos Angelica Mortis fait référence à un groupe de vingt Chapitres nommé Astartes Praeses.Ce livre prétend que ces chapitres furent fondés dans un seul but : celui de veiller sur la région entourant l'Oeil de la Terreur. 1, 2A ce jour, l'un de ces Chapitres fut détruit par l’ennemi et un autre fut déclaré Excommunicatus Traitorus. 3
Astorath	Astorath, surnommé "l'Inflexible", est le "Grand Chapelain" 2 du chapitre des Blood Angels, mais porte aussi le titre de "Rédempteur des Égarés". 1-p.44
Astorath The Grim: Redeemer of the Lost (Nouvelle)	"Astorath the Grim" est une mini nouvelle publiée originellement par Black Library à l'occasion du calendrier de l'avent de décembre 2013. Il fut seulement disponible en téléchargement sur le site de Black Library. 2
Astral Claws	Les Astral Claws furent un Chapitre Space Marine loyaliste devenu renégat en M41. Leurs survivants se sont renommés depuis les Red Corsairs. 2
Astral Hawks	Les Astral Hawks sont un Chapitre Space Marine loyaliste. 1
Astral Knights	Astral Knights peut désigner :<ul><li> Astral Knights (Imperial Fists) : un Chapitre descendant des Imperial Fists.</li> <li> Astral Knights (Chapitre) : un autre Chapitre Space Marine avec le même nom.</li></ul>
Astral Knights (Chapitre)	Les Astral Knights sont un Chapitre Space Marine loyaliste. 1
Astral Knights (Imperial Fists)	Les Astral Knights furent un Chapitre Space Marine loyaliste issus du patrimoine génétique des Imperial Fists. 2, 6
Astronomican	Parfois appelé Impériale Lumière, Route Dorée, Lumière-Guide de l'Empereur ou encore Rayon d'Espoir par ceux qui empruntent les flots du Warp, le phare psychique de l'Astronomican est vital à l'Imperium, car il est le seul élément qui rend les voyages dans le Warp possibles. 1
Astropathe	Un Astropathe est un type de Psyker humain. Ils sont indispensables à la survie de l'Imperium car c'est leurs pouvoirs qui permettent les communication inter-planétaire dans la galaxie. 1
Asurmen	Asurmen, la Main d'Asuryan est le Seigneur Phénix des Vengeurs Lugubres. 2
Asuryan	Asuryan, surnommé le Roi Phénix, est le dieu suprême des Eldars. 1-p.5
Atanarius	Atanarius fut un célèbre héros des Salamanders lors de la Grande Croisade. 1
Athonos	Athonos peut désigner :<ul><li> Athonos (Monde Nécropole) : un Monde Nécropole.</li> <li> Athonos (Monde Civilisé) : un Monde Civilisé impérial situé dans le Segmentum Tempestus</li></ul>
Athonos (Monde Nécropole)	Athonos est un Monde Ténébreux sous contrôle Nécron. 1
Atlas	L'Atlas est un char de réparation utilisé par la Garde Impériale.
Atreus Deucalion	Atreus Deucalion fut un Chevalier-Capitaine de l'antique Ière Légion des Dark Angels. 1
Auletio	Frère "Auletio" fut un Techmarine du chapitre des Blood Angels. 2a
Aun'shi	Aun'shi est un héros modeste et discret, vétéran de nombreuses batailles ,il est profondément attaché à la paix, mais c'est avant tout un grand combattant et ses exploits martiaux lui ont valus une grande renommée au sein de la Caste du Feu. 1
Aurelia	Aurelia est une planète impériale située dans l'Ultima Segmentum et l'ex Monde Chapitral des Blood Ravens. 1, 2
Auric Patricians	Les Auric Patricians sont un Chapitre Space Marine loyaliste. 1
Auric Saxton	Auric Saxton fut un Maître de Forge de l'antique IVème Légion des Iron Warriors. 1
Aurora Talons	Les Aurora Talons sont un Chapitre Space Marine loyaliste. 1
Aurum (Relique)	"Aurum" est une épée énergétique-relique détenue par le prophète des Night Lords Talos. 1
Autarque	Un Autarque est le commandant d'un Ost de Guerre Eldar. 2-p.27
Autocanon	Les Autocanons, appelés aussi parfois "Mitrailleuses", 2 désignent des armes lourdes apparaissant sous de nombreuses formes et utilisées principalement par les armées de l'Imperium, loyalistes comme renégates, mais aussi par des pirates xenos comme les Orks. 3
Automatik'	L'Automatik' est un pistolet compact et laid, de gros calibre et d'une grande énergie cinétique, utilisé par la plupart des Orks car il possède deux grandes qualités pour eux. La première est de pouvoir tuer leurs ennemis en le criblant de balles à courte portée. La deuxième, celle que les Orks préfèrent et utilise le plus souvent, est de pouvoir donner de grands coups de crosse d'une brutalité démesurée au corps-à-corps afin d'écraser le crâne de son adversaire. Lorsque qu'un Automatik' tire un bruit assourdissant retentit au même moment, pour le plus grand plaisir de son utilisateur. [Source?]
Aux Aguets (Conquest, Extension)	"Aux Aguets" est le nom de la quatrième extension du second cycle du jeu de carte Conquest publié en français par Edge Entertainment.
Avarris	Avarris est un Monde Chevalier du Secteur Vidar appartenant aussi à la Dynastie Sautekh. 1
Avatar	Les Avatars sont les incarnations du dieu Eldar de la guerre, Kaela Mensha Khaine. Pendant la Chute des Eldars, Khaine affronta Slaanesh peu après sa naissance, alors que tout les autres dieux avaient été détruit ou vaincu puis absorbé par le Grand Ennemi. Sachant qu’il ne survivrait pas lui-même à cette épique bataille, Khaine se dispersa aux travers des galaxies, se réfugiant au cœur des Vaisseaux mondes survivants. Partout où son essence se réfugia, un artéfact de fureur fut crée, permettant aux Eldars d’invoquer un de ses Avatars afin de continuer le combat. 1
Avenger	Le terme Avenger peut désigner :<ul><li> Avenger (Barge) : Barge de Bataille de la Raven Guard</li> <li> Avengers : Chapitre de Space Marines</li> <li> Avenger Strike Fighter : un aéronef de la Flotte Impériale</li> <li> Canon Avenger : arme équipant le Fire Raptor et l'Avenger Strike Fighter</li> <li> Croiseur Super-Lourd Avenger : classe de vaisseau de la Flotte Impériale</li></ul>
Avengers	Les Avengers sont un Chapitre Space Marine loyaliste. 1, 2
Avenging Sons	Les Avenging Sons sont un Chapitre Space Marine successeur des Ultramarines créé lors de la 19ème Fondation. [Source?]
Axan	"Axan" fut le leader d'un clan de Baal Secundus. 1
Axe Mortalis	L'Axe Mortalis, 3 appelé aussi Axia Mortalis 1 (ou Hache Mortalis 2), est l'arme de prédilection du Commandeur Dante des Blood Angels.
Axineton	Axineton est un Space Marine du Chapitre White Consuls, servant vers la fin du M41 dans la Deathwatch en tant qu'Épistolier. 1
Azkaellon	"Azkaellon" fut le commandeur de la Garde Sanguinienne au M31. 1-p.50
Azraël	Azraël est l'actuel Grand Maître Suprême des Dark Angels et il porte le titre de Gardien de la Vérité. 1, 3
Baal	Le mot "Baal" peut désigner :
Baal's Fire	Le "Baal's Fire Chariot" fut le nom familier d'une Escouade de Moto Space Marine de l'antique IXème légion des Blood Angels. 2
Baal (Planète)	"Baal" est une planète située dans le quadrant nord-ouest de l'Ultima Segmentum. C'est une planète vassale de l'Adeptus Astartes, le siège unique de la légion, puis du chapitre des Blood Angels. 6
Baal IX	'"Baal IX" est une planète du Système Baal. 1
Baal Prime	'"Baal Prime", 1 également appelée "Baal Primus", 4c est la première lune de la planète Baal; la seconde étant Baal Secundus.
Baal Secundus	'"Baal Secundus" est la seconde lune de la planète Baal avec Baal Prime. 4
Baalus Trine	'"Baalus Trine" est la seule planète de recrutement connue du chapitre des Angels Sanguine.
Bad Moonz	Les "Bad Moonz", appelés aussi parfois "Bad Moons", sont l'un des six principaux clans Orks de la galaxie.
Badelt	" Badelt " est la lune unique de la planète Shenlong. 1b
Baharroth	Baharroth, la Plainte du Vent est le Seigneur Phénix des Eperviers Voltigeurs. 2
Bakhart	Frère Bakhart fut un Dreadnought Contemptor de l'antique XVIème légion des Sons of Horus. 1
Bakka	Bakka est la Forteresse Segmentaire de la Flotte Impériale du Segmentum Tempestus. 1
Balaam	Balaam est un Agri-Monde du Secteur Gothique. 1
Balazaran	"Balazaran" est le nom d'un Space Marine du Chaos, champion du Dieu Tzeentch.
Balise de Téléportation	La Balise de Téléportation est un équipement utilisé par les Chapitres Space Marines. 1-p.23
Ballade d'Imbach	La Ballade d'Imbach célèbre le souvenir de la chute de la Forteresse d'Imbach. 1
Balthasar	Balthasar fut le Maître de Compagnie de la 5ème Compagnie du Chapitre des Dark Angels vers la fin du M41. 1
Banardi Prime	Banardi Prime est une planète du Segmentum Tempestus. 1
Bande de Space Marines du Chaos	Les Bandes Space Marine du Chaos possèdent tous les atouts des Space Marines de l'Adeptus Astartes, assortis des pouvoirs du Chaos et d'une dévotion fanatique à ses divinités. 2-p.36
Bandes dessinées (Liste)	Liste de toutes les adaptations en bande dessinées (Comics, romans graphiques, etc.) se plaçant dans l'univers de Warhammer 40,000.
Baneblade	Le Baneblade est un char super-lourd utilisé par la Garde Impériale. Il fut également utilisé par le Solar Auxilia. 1,3
Banehammer	Le Banehammer est un char super-lourd utilisé par la Garde Impériale.
Banesword	Le Banesword est un char super-lourd utilisé par la Garde Impériale.
Bannière Waaagh!	Une Bannière Waaagh! inspire un respect presque religieux aux Orks à proximité.Elle est décorée de glyphes, de trophées, de casques de Space Marines et des crânes des ennemis qui ont été les plus durs à tuer. Elle est souvent maculée de sang pour prouver à quel point ses propriétaires sont redoutables.Le Nob qui la brandit a réussi à gagner la confiance du Big Boss et est extrêmement respecté.
Bannière de Compagnie	La Bannière de Compagnie est une relique extrêmement précieuse représentant les armoiries de la Compagnie ou l'héraldique du Capitaine qui la commande.Elle est portée bien haut au cœur des combats, insufflant Courage et Bravoure aux Frères de bataille.La Bannière mentionne les hauts faits d'arme de la Compagnie, les ennemis qu'elle a jeté à bas ou encore les batailles remportées. 1
Bannon	Bannon peut désigner :<ul><li> Bannon (Imperial Fist) : Capitaine des Imperial Fists et de la Deathwatch.</li> <li> Bannon (Salamander) : membre de la 14ème compagnie des Salamanders lors de l'Hérésie d'Horus.</li></ul>
Bannon (Imperial Fist)	Bannon fut un Space Marines du chapitre Imperial Fists.Il servit la Deathwatch en tant que Capitaine et assista l'Inquisiteur Kryptman sur Tarsis Ultra pour combattre les Tyranides de la Flotte-Ruche Leviathan.
Bannus	Frère Bannus fut un chef de guerre des Iron Hands et un contemporain du Révérend de Fer Blantar. 1
Banshee	Les Banshees 3-p.10 ou Banshees Huantes 4-p.32 représentent les Banshees de la mythologie, les filles du Dieu de la Guerre Kaela Mensha Khaine et de Morai-Heg, capable d’arracher les âmes de leur corps d'un seul cris. [Source?]
Barabas	Le "Barabas" fut le nom d'un Rhino de l'antique IXème légion des Blood Angels. 2
Barabas Dantioch	Barabas Dantioch fut un Maître de Forge de l'antique IVème Légion des Iron Warriors resté fidèle à l'Empereur durant l'Hérésie d'Horus. 1
Barbaros' Sting	Le Barbaros' Sting fut un Vaisseau d’Attaque de l'antique XIVème légion de la Death Guard. 1
Barbarossa	Barbarossa est un terme qui peut désigner:<ul><li> Barbarossa (Hymne) : Un chant de guerre des Blood Angels dans le roman Deus Encarmine.</li> <li> Barbarossa IV : Une planète purgée par les Blood Angels et occupée par les Black Templars.</li> <li> Barbaros' Sting: Un Croiseur de la Death Guard pendant l'Hérésie d'Horus</li></ul>
Barbarossa Hymnal	L' "Hymne Barbarossa" est un chant de guerre des Blood Angels.
Barbarossa IV	Barbarossa IV est un Agri-Monde impérial du Secteur Armageddon, dans le Segmentum Solar.1
Barbarus	Barbarus fut le monde d'origine de la Death Guard, la légion traitresse de Mortarion.
Barge de Bataille	Les Barges de Bataille sont des vaisseaux impériaux spécifiques au flottes de l'Adeptus Astartes. 1
Barge of the Damned	Le Barge of the Damned fut un vaisseau de transport au M31. 1
Barnald's Sappers	Les Barnald's Sappers furent une unité de l'antique Armée Impériale au M31. 1
Baroda	Baroda est le Monde Chevalier de la Maison Makabius, situé dans l'Abîme du Graal. 1
Barsk	Frère Barsk fut un Sergent de l'antique XIIème légion des World Eaters. 1
Bas-Fonds de Commorragh	Les Bas-Fonds de Commorragh sont les quartiers les plus anciens de Commorragh, la cité des Eldars Noirs. 1
Basilisk	Le Basilisk est un pièce d'artillerie auto-tractée utilisée par la Garde Impériale. Il fut également utilisé par le Solar Auxilia et les Legiones Astartes. 1,3,4
Basquit	Basquit est un Agri-Monde impérial du Secteur Armageddon, dans le Segmentum Solar1.
Bastalek Grim	Bastalek Grim (ou Grimm 4) est un Inquisiteur. 1, 2, 3
Bastion-019	Bastion-019 est un Monde Chevalier de l'Ultima Segmentum. 1
Bastion (Vaisseau)	La Vaisseau de Classe Bastion est un navire Demiurgs, race alliée aux Taus. Il s'agit d'un vaisseau plus commun que le Stronghold mais reste malgré tout assez rare. Le rôle supposé des Bastions est l'exploration et le transport de matières premières et on pense qu'ils convoient du matériel pour les Strongholds bien qu'aucun témoignage visuel ne le confirme. 1
Bataille d'Agripinaa	La "Bataille d'Agripinaa" désigne la bataille livrée entre les Blood Angels et les World Eaters pour le Monde Forge d'Agripinaa lors de la Treizième Croisade Noire. 1
Bataille de Cybele	La "Bataille de Cybele" désigne le conflit livré entre les Blood Angels et les Word Bearers pour le Monde Sépulture de Cybele parallèlement à la Treizième Croisade Noire. 1
Bataille de Perditus	La Bataille de Perditus,  est une bataille qui vit s'affronter les loyalistes et les traîtres pour un artefact sur Perditus . 1
Bataille de Sabien	La "Bataille de Sabien" désigne le dernier acte d'une guerre interne ayant éclaté au sein du Chapitre des Blood Angels sur le Monde Sépulture de Sabien, et à laquelle se joignirent les Word Bearers; peu avant le déclenchement de la Treizième Croisade Noire. 1
Bataille de Sekundar Prime	La "Bataille de Sekundar" désigne la bataille livrée entre les Blood Angels et les Orks pour le Monde Féodal de Sekundar Prime. 1a
Bataille de Shenlong	La "Bataille de Shenlong" désigne le conflit livré par les Blood Angels contre les Word Bearers pour le Monde Forge de Shenlong peu avant le déclenchement de la Treizième Croisade Noire. 1
Bataille de Skalathrax	La bataille de Skalathrax est une bataille entre les Emperor's Children et les World Eaters. Elle est célèbre pour avoir valu le surnom de félon à Khârn et provoqué l'éclatement de la légion des World Eaters.
Bataille de Terra	La Bataille de Terra est l'une des principales batailles de l'Hérésie d'Horus. Elle voit l'affrontement des armées loyalistes à l'Empereur et des armées renégates menées par Horus. La victoire des premières, et notamment la mort d'Horus, permet à l'Imperium d'écarter momentanément la menace des hérétiques. Le prix pour l'empire est une blessure critique pour l'Empereur qui doit se retirer dans le Trône d'Or.
Bataille de la Forteresse éternelle	La bataille de la Forteresse éternelle est l'un des derniers épisodes de l'Hérésie d'Horus. Il met aux prises les Iron Warriors et les Imperial Fists aidés des Ultramarines. Bien que gagnée par les loyalistes, elle a un coût énorme pour les Imperial Fists, ce qui offre le statut de Prince Démon à Perturabo.
Bataille de la Gorge du Destin	La Bataille de la Gorge du Destin se déroula en 295.M41 sur une planète inconnue et opposa un détachement du chapitre de la Black Guard à la Flotte Ruche Kraken. 1
Bataille des Coronid Deeps	La Bataille des Coronid Deeps, et la "Guerre de Manachea" est une campagne de l'Hérésie d'Horus. Elle vit les traîtres s'emparer des secteurs industriels des Coronid Deeps . 1
Bataille du Sépulcre	La Bataille du Sépulcre d'Orar fut un affrontement qui opposa les Eldars des Vaisseaux-Mondes d'Alaitoc et d'Iyanden contre le Chapitre des Ultramarines dans son intégralité. 1
Bataille pour Grand Al'Gul	La Bataille pour Grand Al'Gul est une bataille qui eut lieu entre les Space Marines du Chapitre des Fire Angels et une bande de Space Marines du Chaos, les The Sanctified. 1
Bataille pour Macragge	La bataille pour Macragge est une bataille qui a eu lieu entre les Ultramarines et les Tyranides de la Flotte-Ruche Behemoth.
Batterie Inferno	La Batterie Inferno ou Canon Inferno 1,2 est une Arme à Flammes de très grande puissance qui équipe les plus imposantes machines de guerre de l'Imperium et du Chaos.
Batterie Plasma Storm	Le Batterie Plasma Storm, est une Arme à Plasma propres aux Chapitres Impardonnés. 1
Batterie Rapier	Les Batteries Rapier sont des batteries d'arme autotractées utilisées par les Space Marines. Les Rapiers furent également utilisées par les Legiones Astartes et le Solar Auxilia. 1,2,3
Batterie de Défense Thunderfire	La tactique appelée Batterie de Défense Thunderfire est une formation de combat utilisée par les Space Marines. 1
Battle's Glory	Le Battle's Glory fut un Land Raider de Commandement de l'antique XIIème légion des World Eaters. 1
BattleFleet Gothic - Armada	BattleFleet Gothic - Armada est un supplément pour le jeu BattleFleet Gothic présentant de nouvelles règles complémentaires à celles contenues dans l'ouvrage BattleFleet Gothic - Règles.De plus, ce complément propose de nouveaux vaisseaux pour les flottes présentées dans l'ouvrage précédant mais aussi de toutes nouvelles flottes pour les autres factions de l'univers de Warhammer 40,000.
BattleFleet Gothic - Règles	Cet ouvrage contient l'ensemble des règles de base du jeu BattleFleet Gothic permettant de jouer des affrontements entre des flottes d'immenses vaisseaux de l'univers de Warhammer 40,000.Outre ces règles de bases, ce livre présente les caractéristiques des vaisseaux des flottes impériales, chaotiques, eldars et orks ainsi qu'un système de règles avancées permettant de recréer tous les aspects de l'environnement d'un combat spatial.
Battle for Delos V (Warhammer 40k, Extension)	Battle for Delos V est le nom de la deuxième extension de cartes du jeu Warhammer 40k (Jeu de cartes), commercialisé à l'origine sous licence de Games Workshop par la société Sabertooth Games en 2002, et en France par la société Hexagonal sous son nom original resté en anglais. Ce jeu n'est actuellement plus commercialisé. 1
Battle for Pandora Prime (Warhammer 40k, Jeu de Base)	Battle for Pandora Prime est le nom de la première collection de cartes du jeu Warhammer 40k (Jeu de cartes), commercialisé à l'origine sous licence de Games Workshop par la société Sabertooth Games en 2001, et en France par la société Hexagonal sous son nom original resté en anglais. Ce jeu n'est actuellement plus commercialisé. 1
Battle for the Golden Throne (Horus Heresy, Extension)	Battle for the Golden Throne est le nom de la collection de cartes d'une des extensions du jeu Horus Heresy (Jeu de cartes), commercialisée à l'origine sous licence de Games Workshop par la société Sabertooth Games en 2005 mais jamais distribué en France. Ce jeu n'est actuellement plus commercialisé.
Battlefleet Gothic (Homonymie)	Le terme Battlefleet Gothic peut désigner :<ul><li> BattleFleet Gothic : Un système de jeu de figurines de batailles spatiales</li> <li> BattleFleet Gothic - Règles : Le livre de règles du jeu de figurines</li> <li> BattleFleet Gothic - Armada : Une extension pour le jeu de figurines</li> <li> Battlefleet Gothic - Armada (Jeu Vidéo) : Un jeu vidéo basé sur le jeu de figurines</li></ul>
Battlefleet Gothic - Armada (Jeu Vidéo)	Battlefleet Gothic - Armada est un jeu vidéo de combat spatial basé sur le jeu de figurines éponyme de Games Workshop. Il a été développé par le studio de Tindalos Interactive et est sorti en Mars 2016. 2
Baubistra	Baubistra fut un Frère de Bataille de l'antique IVème Légion des Iron Warriors. 1
Bazoogrot	Le plus souvent monté sur une Boit'kitu, un Bazoogrot peut être résumé comme un propulseur de débris. Il propulse tout et n'importe quoi, du moment que ça peut faire mal, comme des grenade n'ayant pas explosé, des boulons, des vis, des bouts de métal ramassés soit directement sur le champ de bataille soit dans l'atelier du Mékano. Malgré ce qu'on pourrait croire le Bazoogrot peut facilement traverser les gilets pare-balles Cadiens.
Be'lakor	Be'lakor est le premier mortel ayant accédé au statut de Prince Démon. 1
Behemoth	Behemoth est le nom à la première Flotte-Ruche Tyranide que l'Imperium rencontra aux confins du sud-est galactique. 1 Après la Bataille de Macragge, elle est supposée en fuite dans le vide intergalactique ou détruite. 2-p.10
