##name	Lexique de Dune
##version	0.0.1
##website	https://github.com/WillScarlettOhara/Dictionnaires
##date	2023-03-17
##description	Dictionnaire pour faciliter la lecture de Dune de Frank Herbert (ɔ) 2023
##sourceLang	French
##targetLang	French
Aba	robe de forme vague portée par les femmes fremen. Généralement noire.
Shai-hulud	ver des sables d’Arrakis, « le vieil homme du désert », « le vieux père éternité », « le grand-père du désert ». Il est significatif que ces noms, prononcés d’une certaine façon ou écrits avec des majuscules, désignent la déité terrestre des superstitions fremen. Les vers des sables atteignent des dimensions colossales (on a observé dans le désert profond des vers de 400 mètres de long) et vivent très longtemps quand ils ne s’entretuent pas ou ne se noient pas dans l’eau qui, pour eux, est toxique. On pense qu’une grande partie du sable qui recouvre Arrakis est produite par l’action des vers. (Voir Petit Faiseur.)
Shaitan	Satan.
Shari-a	partie de la panoplia propheticus qui concerne les rites superstitieux. (Voir Missionaria Protectiva.)
Shigavrille	produit métallique d’une plante (la Narvi narviium) qui ne pousse que sur Salusa Secundus et III Delta Kaising. Réputé pour son extrême résistance à la traction.
Sietch	terme Fremen pour « lieu de réunion en période de danger ». Les Fremen vécurent si longtemps dans le danger que le terme finit par désigner toute grotte habitée par une communauté tribale.
Sihaya	terme fremen désignant le printemps du désert avec des implications religieuses sur la fécondité et « le paradis à venir ».
Sillon	dépression entourée de terrains élevés, sur Arrakis, et protégée des tempêtes. Zone habitable.
Sirat	passage de la Bible C.O. qui décrit la vie humaine comme le passage sur un pont étroit (le Sirat) avec « le Paradis sur ma droite, l’Enfer sur ma gauche, et l’Ange de la Mort derrière moi ».
Solari	unité monétaire de l’Imperium dont la valeur était fixée par la Guilde, le Landsraad et l’Empereur.
Solido	image tridimensionnelle issue d’un projecteur solido utilisant les signaux à 360o inscrits sur une bobine de shigavrille. Les solido ixiens sont les plus réputés.
Sondagi	tulipe-fougère de Tupali.
Sonder le sable	art qui consiste à planter des tiges fibroplastiques dans les étendues désertiques d’Arrakis et à interpréter les traces laissées par les tempêtes de sable pour essayer de prédire le temps.
Soo-Soo Sook !	cri du marchand d’eau sur Arrakis. Sook désigne la place du marché. (Voir Ikhut-eigh !)
Subakh ul kuhar	« Comment allez-vous ? » Formule de politesse fremen.
Subakh un nar	« Ça va. Et vous ? » Réponse traditionnelle à la formule précédente.
Suspenseur	application de l’effet de phase d’un générateur de champ Holtzman. Le suspenseur annule la gravité dans certaines limites relatives à la masse et à l’énergie consommée.
Tahaddi al-Burhan	épreuve ultime pour laquelle il ne saurait y avoir d’appel (en général parce que son issue est la mort).
Tahaddi	défi fremen annonçant un combat à mort.
Taillerays	laser à faible portée, modifié pour être utilisé comme outil de taille ou scalpel chirurgical.
Taqwa	littéralement	« le prix de la liberté ». Quelque chose de grande valeur. Ce qu’un dieu exige d’un mortel. La peur suscitée par cette demande.
Tau	en terme fremen, l’unité d’une communauté sietch induite par l’épice et plus spécialement à la suite de l’orgie tau au cours de laquelle on absorbe l’Eau de Vie.
Tleilax	unique planète de Thalim, centre de formation « clandestin » de Mentats « tordus ».
Transe de vérité	transe semi-hypnotique provoquée par certains narcotiques de perception et au cours de laquelle on décèle le mensonge par les plus infimes détails. (Note	les narcotiques de perception sont fréquemment fatals, sauf pour les individus capables de modifier la structure du poison dans leur organisme.)
Tupile	« planète-sanctuaire » (il y en eut probablement plusieurs) des Maisons de l’Imperium défaites et dont la situation n’est connue que de la Guilde. Cet asile est demeuré inviolé pendant toute la durée de la Paix de la Guilde.
Ulema	docteur en théologie des Zensunni.
Umma	membre de l’une des fraternités de prophètes. Terme de mépris dans l’Imperium pour toute personne ayant tendance à énoncer des prophéties fanatiques.
Uroshnor	l’un des mots dépourvus de sens particulier et que les Bene Gesserit implantent dans l’esprit de leurs victimes pour les contrôler. Celles-ci, lorsque le mot est prononcé, sont immobilisées.
Usul	terme fremen signifiant	« La base du pilier. »
Varota	luthier fameux pour ses balisettes. Natif de Chusuk.
Vérité	narcotique d’Ecaz qui annihile la volonté. Interdit tout mensonge à celui qui l’absorbe.
Ver des sables	Voir Shai-hulud.
Vidangeur	terme général désignant les astronefs-cargos de forme irrégulière chargés de déverser des matériaux depuis l’espace vers la surface d’une planète.
Vinencre	plante rampante originaire de Giedi Prime et dont les maîtres d’esclaves se servent fréquemment comme d’un fouet. Laisse dans la chair une cicatrice de couleur rouge sombre et une douleur résiduelle qui subsiste durant des années.
Voix	effet de l’éducation Bene Gesserit. Permet aux adeptes de sélectionner certains harmoniques de leur voix afin de contrôler les individus.
Wali	jeune Fremen inexpérimenté.
Wallach IX	neuvième planète de Laoujin qui abrite l’École Mère du Bene Gesserit.
Ya hya chouhada	« Longue vie aux combattants ! » Cri de bataille des Fedaykin. Ya (maintenant) est ici augmenté de la forme hya (maintenant prolongé éternellement). Chouhada (combattants) a ici le sens précis de combattants contre l’injustice.
Yali	appartement personnel d’un Fremen à l’intérieur d’un sietch.
Ya ! Ya ! Yawm !	chant rythmé fremen pour les rites les plus importants. Ya a le sens de	« Maintenant, faites bien attention ! » La forme yawm accentue l’urgence. Ce chant est en général traduit par	« Maintenant, écoutez bien ! »
Zensunni	adeptes de la secte schismatique qui rompit vers 1381 A.G. avec les enseignements de Mahomet (le soi-disant « Troisième Mahomet »). La religion des Zensunni se caractérise par l’importance accordée au mysticisme et le retour aux « voies de nos pères ». Certaines études indiquent qu’Ali Ben Ohashi aurait été à l’origine du schisme mais diverses preuves tendent à le faire apparaître comme un simple porte-parole de sa seconde épouse, Nisai.
